Test name: 03252015_1DC_100OS_140MPa_02_19
Test author: AMP
Material: Ottawa sand F-65
Soil batch delivered to: UCDavis CGM
Soil batch delivery date: 05/2014
Gs 2.65
High pressure consolidation phase
Vertical E. Stress Void Ratio Vertical Strains
(MPa)   (-)     (-) 
0.10000 0.72673 0.00000
0.32800 0.72592 0.00047
0.38230 0.72551 0.00071
0.47281 0.72510 0.00095
0.49091 0.72265 0.00236
0.58141 0.72347 0.00189
0.61761 0.72143 0.00307
0.69001 0.71898 0.00449
0.79861 0.72224 0.00260
0.81671 0.71898 0.00449
0.61399 0.72225 0.00260
0.68096 0.72123 0.00319
0.74793 0.72021 0.00378
0.82938 0.71923 0.00435
0.91626 0.71857 0.00472
0.99953 0.71768 0.00524
1.09003 0.71666 0.00583
1.19682 0.71596 0.00624
1.30180 0.71486 0.00687
1.41583 0.71388 0.00744
1.53530 0.71319 0.00784
1.65114 0.71242 0.00829
1.78870 0.71156 0.00879
1.91902 0.71066 0.00931
2.05659 0.70976 0.00983
2.20682 0.70878 0.01039
2.36610 0.70817 0.01075
2.52177 0.70736 0.01122
2.68648 0.70654 0.01169
2.85662 0.70560 0.01224
3.01953 0.70483 0.01269
3.20053 0.70389 0.01323
3.37430 0.70295 0.01377
3.55892 0.70218 0.01422
3.74536 0.70099 0.01491
3.93722 0.69993 0.01552
4.13452 0.69871 0.01623
4.33181 0.69769 0.01682
4.53816 0.69659 0.01746
4.74450 0.69589 0.01786
4.97076 0.69459 0.01861
5.19701 0.69353 0.01923
5.43231 0.69267 0.01972
5.66400 0.69157 0.02036
5.90292 0.69071 0.02086
6.13461 0.68986 0.02136
6.38077 0.68916 0.02176
6.62151 0.68823 0.02230
6.85682 0.68737 0.02280
7.10479 0.68602 0.02358
7.35096 0.68541 0.02393
7.60617 0.68480 0.02428
7.85415 0.68386 0.02483
8.11841 0.68309 0.02528
8.38811 0.68227 0.02575
8.65600 0.68145 0.02622
8.90578 0.68052 0.02677
9.17548 0.67962 0.02728
9.45241 0.67876 0.02778
9.73297 0.67811 0.02816
10.00085 0.67676 0.02894
10.28322 0.67570 0.02955
10.56739 0.67489 0.03003
10.82804 0.67419 0.03043
11.09231 0.67321 0.03099
11.37648 0.67228 0.03154
11.66247 0.67117 0.03217
11.94122 0.67028 0.03269
12.22539 0.66975 0.03300
12.50414 0.66897 0.03345
12.79555 0.66816 0.03392
13.07611 0.66710 0.03454
13.36571 0.66604 0.03515
13.66255 0.66469 0.03593
13.94673 0.66363 0.03655
14.23634 0.66249 0.03721
14.52775 0.66171 0.03766
14.82097 0.66085 0.03815
15.09791 0.65959 0.03888
15.38571 0.65865 0.03943
15.66084 0.65779 0.03992
15.93958 0.65710 0.04033
16.20927 0.65612 0.04089
16.49164 0.65514 0.04146
16.77944 0.65433 0.04193
17.05094 0.65351 0.04240
17.32787 0.65327 0.04255
17.60480 0.65237 0.04307
17.89621 0.65135 0.04366
18.17314 0.65033 0.04425
18.45009 0.64943 0.04477
