Test name: 03252015_1DC_100OS_30MPa_01_18
Test author: AMP
Material: Ottawa sand F-65
Soil batch delivered to: UCDavis CGM
Soil batch delivery date: 05/2014
Gs 2.65
High pressure consolidation phase
Vertical E. Stress Void Ratio Vertical Strains
(MPa)   (-)     (-) 
0.10000 0.55064 0.00000
0.38764 0.55098 0.00022
0.46005 0.54896 0.00108
0.58675 0.55031 0.00022
0.62295 0.54762 0.00195
0.73155 0.54694 0.00238
0.78585 0.54896 0.00108
0.89446 0.54762 0.00195
1.07546 0.54661 0.00260
1.16596 0.54627 0.00282
0.81300 0.54802 0.00169
0.92523 0.54725 0.00219
1.04831 0.54667 0.00256
1.17682 0.54600 0.00299
1.31800 0.54536 0.00340
1.45738 0.54469 0.00384
1.61666 0.54399 0.00429
1.79042 0.54318 0.00481
1.97143 0.54241 0.00531
2.15424 0.54156 0.00585
2.34068 0.54076 0.00637
2.54159 0.54012 0.00679
2.74613 0.53948 0.00720
2.96152 0.53884 0.00761
3.19321 0.53830 0.00796
3.43937 0.53760 0.00841
3.68373 0.53682 0.00891
3.93713 0.53629 0.00926
4.20140 0.53545 0.00980
4.48196 0.53498 0.01010
4.75165 0.53420 0.01060
5.04126 0.53400 0.01073
5.34354 0.53343 0.01110
5.63857 0.53262 0.01162
5.94628 0.53205 0.01199
6.26665 0.53145 0.01238
6.58522 0.53094 0.01270
6.91827 0.53040 0.01305
7.24770 0.53010 0.01325
7.58798 0.52943 0.01368
7.94456 0.52879 0.01409
8.29571 0.52768 0.01481
8.65771 0.52701 0.01524
9.03239 0.52640 0.01563
9.40164 0.52573 0.01606
9.77632 0.52526 0.01637
10.17453 0.52439 0.01693
10.56369 0.52365 0.01741
10.95647 0.52321 0.01769
11.35648 0.52223 0.01832
11.76012 0.52163 0.01871
12.17281 0.52112 0.01903
12.56921 0.52042 0.01949
12.98914 0.51948 0.02010
13.41089 0.51860 0.02066
13.82177 0.51800 0.02105
14.23988 0.51743 0.02142
14.67067 0.51662 0.02194
15.11232 0.51554 0.02263
15.55759 0.51521 0.02285
16.00648 0.51443 0.02335
16.46261 0.51363 0.02387
16.92959 0.51272 0.02445
17.37848 0.51242 0.02465
17.83641 0.51181 0.02504
18.30159 0.51097 0.02558
18.76315 0.51050 0.02589
19.21928 0.50990 0.02628
19.66998 0.50926 0.02669
20.12791 0.50848 0.02719
20.59310 0.50795 0.02753
21.05467 0.50737 0.02790
21.52710 0.50707 0.02810
22.00132 0.50627 0.02862
22.47736 0.50556 0.02907
22.96426 0.50502 0.02942
23.44935 0.50415 0.02998
26.01777 0.50055 0.03230
26.61519 0.50021 0.03252
27.12200 0.50089 0.03209
27.59254 0.50089 0.03209
28.00888 0.49921 0.03317
28.62423 0.49954 0.03295
29.14924 0.49887 0.03339
29.58365 0.49820 0.03382
30.09046 0.49685 0.03469
30.50666 0.49618 0.03512
32.17190 0.49450 0.03621
