Test name: 03302015_1DC_100OS_70MPA_01_22
Test author: AMP
Material: Ottawa sand F-65
Soil batch delivered to: UCDavis CGM
Soil batch delivery date: 05/2014
Gs 2.65
High pressure consolidation phase
Vertical E. Stress Void Ratio Vertical Strains
(MPa)   (-)     (-) 
0.10000 0.73536 0.00000
0.26628 0.73368 0.00097
0.32058 0.73117 0.00241
0.35678 0.73368 0.00097
0.37489 0.73242 0.00169
0.39299 0.72907 0.00362
0.50159 0.72991 0.00314
0.51969 0.72740 0.00459
0.51969 0.72572 0.00555
0.68259 0.72698 0.00483
0.45996 0.72941 0.00343
0.50883 0.72869 0.00384
0.56494 0.72786 0.00432
0.61743 0.72681 0.00493
0.68259 0.72585 0.00548
0.75318 0.72501 0.00596
0.82740 0.72400 0.00654
0.90704 0.72358 0.00678
1.00297 0.72304 0.00710
1.09709 0.72203 0.00768
1.20207 0.72136 0.00806
1.31611 0.72036 0.00864
1.42471 0.71964 0.00905
1.54598 0.71855 0.00968
1.66906 0.71759 0.01024
1.80301 0.71692 0.01062
1.94057 0.71592 0.01120
2.08356 0.71478 0.01186
2.23560 0.71357 0.01256
2.38765 0.71260 0.01311
2.53969 0.71147 0.01376
2.70440 0.71055 0.01429
2.87455 0.70963 0.01483
3.05193 0.70879 0.01531
3.24017 0.70804 0.01574
3.43204 0.70703 0.01632
3.61666 0.70615 0.01683
3.82120 0.70506 0.01746
4.02030 0.70410 0.01801
4.22484 0.70309 0.01859
4.44204 0.70226 0.01907
4.65563 0.70129 0.01963
4.88007 0.69999 0.02038
5.10995 0.69895 0.02098
5.33439 0.69773 0.02168
5.57513 0.69664 0.02231
5.82491 0.69597 0.02270
6.07108 0.69517 0.02316
6.32086 0.69413 0.02376
6.57789 0.69337 0.02419
6.83673 0.69249 0.02470
7.10461 0.69153 0.02526
7.37250 0.69073 0.02571
7.64581 0.68994 0.02617
7.92094 0.68893 0.02675
8.18159 0.68793 0.02733
8.45490 0.68696 0.02789
8.74089 0.68617 0.02835
9.02868 0.68533 0.02883
9.31467 0.68441 0.02936
9.61152 0.68357 0.02984
9.90112 0.68273 0.03033
10.19435 0.68202 0.03074
10.48577 0.68126 0.03117
10.77899 0.68043 0.03165
11.09032 0.67963 0.03211
11.39079 0.67862 0.03269
11.68039 0.67762 0.03327
11.97724 0.67712 0.03356
12.28133 0.67640 0.03397
12.58180 0.67548 0.03450
12.88588 0.67452 0.03506
13.19359 0.67364 0.03557
13.49767 0.67238 0.03629
13.80538 0.67188 0.03658
14.10404 0.67075 0.03723
14.41536 0.66953 0.03793
14.72849 0.66844 0.03856
15.03801 0.66702 0.03938
15.34391 0.66572 0.04013
15.65161 0.66446 0.04085
15.95389 0.66362 0.04134
16.25978 0.66237 0.04206
16.57654 0.66170 0.04245
16.88425 0.66027 0.04327
17.19376 0.65948 0.04373
17.50328 0.65885 0.04409
17.81098 0.65776 0.04472
18.11868 0.65751 0.04486
18.43181 0.65679 0.04527
18.74133 0.65646 0.04546
